"","State","Population Estimates, July 1 2021, (V2021)","Population estimates base, April 1, 2020, (V2021)","Population, percent change - April 1, 2020 (estimates base) to July 1, 2021, (V2021)","Population, Census, April 1, 2020","Population, Census, April 1, 2010","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent","American Indian and Alaska Native alone, percent","Asian alone, percent","Native Hawaiian and Other Pacific Islander alone, percent","Two or More Races, percent","Hispanic or Latino, percent","White alone, not Hispanic or Latino, percent","Veterans, 2016-2020","Foreign born persons, percent, 2016-2020","Housing units,  July 1, 2019,  (V2019)","Owner-occupied housing unit rate, 2016-2020","Median value of owner-occupied housing units, 2016-2020","Median selected monthly owner costs -with a mortgage, 2016-2020","Median selected monthly owner costs -without a mortgage, 2016-2020","Median gross rent, 2016-2020","Building permits, 2020","Households, 2016-2020","Persons per household, 2016-2020","Living in same house 1 year ago, percent of persons age 1 year+, 2016-2020","Language other than English spoken at home, percent of persons age 5 years+, 2016-2020","Households with a computer, percent, 2016-2020","Households with a broadband Internet subscription, percent, 2016-2020","High school graduate or higher, percent of persons age 25 years+, 2016-2020","Bachelor's degree or higher, percent of persons age 25 years+, 2016-2020","With a disability, under age 65 years, percent, 2016-2020","Persons  without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2016-2020","In civilian labor force, female, percent of population age 16 years+, 2016-2020","Total accommodation and food services sales, 2012 ($1,000)","Total health care and social assistance receipts/revenue, 2012 ($1,000)","Total manufacturers shipments, 2012 ($1,000)","Total retail sales, 2012 ($1,000)","Total retail sales per capita, 2012","Mean travel time to work (minutes), workers age 16 years+, 2016-2020","Median household income (in 2020 dollars), 2016-2020","Per capita income in past 12 months (in 2020 dollars), 2016-2020","Persons in poverty, percent","Total employer establishments, 2020","Total employment, 2020","Total annual payroll, 2020 ($1,000)","Total employment, percent change, 2019-2020","Total nonemployer establishments, 2018","All firms, 2012","Men-owned firms, 2012","Women-owned firms, 2012","Minority-owned firms, 2012","Nonminority-owned firms, 2012","Veteran-owned firms, 2012","Nonveteran-owned firms, 2012","Population per square mile, 2010","Land area in square miles, 2010","FIPS Code","NA","NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","NA","Value Notes","None","NA","Fact Notes","(a)","(c)","(b)","NA","Value Flags","-","F","D","N","FN","X","S","NA","Z"
"11","Delaware","1,003,384","989,948","1.4%","989,948","897,934","5.6%","20.9%","19.4%","51.7%","69.2%","23.2%","0.7%","4.1%","0.1%","2.7%","9.6%","61.7%","65,065","9.4%","443,781","71.4%","$258,300","$1,591","$475","$1,150","8,455","370,953","2.54","88.0%","13.4%","93.1%","87.4%","90.6%","32.7%","9.3%","8.1%","61.6%","58.1%","2,148,437","7,003,251","22,597,384","14,456,001","$15,763","26.2","$69,110","$36,574","10.9%","26,142","413,410","23,948,185","1.9%","68,623","73,418","38,328","23,964","14,440","54,782","7,206","60,318","460.8","1,948.54","""10""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Connecticut","3,605,597","3,605,944","0.0%","3,605,944","3,574,097","5.1%","20.4%","17.7%","51.2%","79.7%","12.2%","0.6%","5.0%","0.1%","2.5%","16.9%","65.9%","160,142","14.6%","1,524,992","66.1%","$279,700","$2,127","$900","$1,201","5,471","1,385,437","2.50","88.3%","22.1%","92.0%","87.3%","90.9%","40.0%","7.6%","7.0%","65.7%","61.7%","9,542,068","29,573,119","55,160,095","51,632,467","$14,381","26.7","$79,855","$45,668","9.7%","88,916","1,538,341","100,304,531","0.6%","286,874","326,693","187,845","106,678","56,113","259,614","31,056","281,182","738.1","4,842.36","""09""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Louisiana","4,624,047","4,657,757","-0.7%","4,657,757","4,533,372","6.5%","23.4%","15.9%","51.2%","62.8%","32.8%","0.8%","1.8%","0.1%","1.8%","5.3%","58.4%","239,881","4.1%","2,089,777","66.6%","$168,100","$1,310","$344","$876","17,283","1,751,956","2.59","87.4%","7.8%","88.1%","79.1%","85.9%","24.9%","11.2%","10.5%","58.7%","55.2%","11,697,949","27,951,792","271,191,050","61,396,364","$13,342","25.8","$50,800","$29,522","17.8%","106,302","1,719,561","82,452,225","1.7%","385,074","414,291","215,111","151,114","126,100","277,676","42,211","354,460","104.9","43,203.90","""22""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Kentucky","4,509,394","4,505,836","0.1%","4,505,836","4,339,367","6.1%","22.4%","16.8%","50.7%","87.5%","8.5%","0.3%","1.6%","0.1%","2.0%","3.9%","84.1%","257,452","4.0%","2,006,358","67.6%","$147,100","$1,191","$379","$783","11,281","1,748,053","2.48","85.5%","5.7%","88.5%","81.6%","87.2%","25.0%","13.2%","7.7%","59.1%","55.1%","7,500,115","26,264,745","129,284,438","54,869,978","$12,526","23.7","$52,238","$29,123","14.9%","91,219","1,666,637","74,883,767","1.5%","295,814","331,546","184,154","106,011","27,258","296,155","33,208","282,704","109.9","39,486.34","""21""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Kansas","2,934,582","2,937,880","-0.1%","2,937,880","2,853,118","6.4%","24.0%","16.3%","50.2%","86.3%","6.1%","1.2%","3.2%","0.1%","3.1%","12.2%","75.4%","172,750","7.0%","1,288,401","66.2%","$157,600","$1,400","$517","$863","8,211","1,141,985","2.48","84.1%","11.7%","91.7%","84.5%","91.4%","33.9%","9.1%","10.9%","65.9%","61.5%","4,873,411","18,248,370","86,076,260","38,276,461","$13,263","19.6","$61,091","$32,798","10.6%","74,292","1,209,318","57,272,387","0.5%","202,389","239,118","125,169","77,194","26,127","204,562","21,610","203,401","34.9","81,758.72","""20""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Iowa","3,193,079","3,190,369","0.1%","3,190,369","3,046,355","6.2%","23.0%","17.5%","50.2%","90.6%","4.1%","0.5%","2.7%","0.2%","2.0%","6.3%","85.0%","178,481","5.4%","1,418,626","71.2%","$153,900","$1,279","$495","$806","12,623","1,273,941","2.40","85.6%","8.4%","90.4%","83.1%","92.5%","29.3%","8.0%","6.0%","67.0%","62.7%","5,468,687","18,583,828","116,668,830","44,905,624","$14,607","19.5","$61,836","$33,021","10.2%","82,770","1,380,747","63,671,064","1.2%","212,333","259,121","135,382","82,345","14,707","236,561","25,889","217,779","54.5","55,857.13","""19""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Indiana","6,805,985","6,785,528","0.3%","6,785,528","6,483,802","6.2%","23.3%","16.1%","50.7%","84.8%","9.9%","0.4%","2.6%","0.1%","2.2%","7.3%","78.4%","372,074","5.3%","2,921,032","69.5%","$148,900","$1,155","$416","$844","24,919","2,602,770","2.50","85.7%","8.8%","90.3%","83.2%","89.3%","27.2%","9.9%","10.3%","63.7%","59.0%","13,076,602","42,493,117","242,763,842","85,857,962","$13,133","23.9","$58,235","$30,693","11.6%","148,917","2,834,056","132,501,965","0.6%","422,619","479,059","253,533","162,798","61,252","405,090","45,174","412,543","181.0","35,826.11","""18""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Illinois","12,671,469","12,812,508","-1.1%","12,812,508","12,830,632","5.9%","22.2%","16.1%","50.9%","76.8%","14.6%","0.6%","5.9%","0.1%","2.1%","17.5%","60.8%","553,593","13.9%","5,388,066","66.3%","$202,100","$1,709","$650","$1,038","18,058","4,884,061","2.54","87.5%","23.0%","91.5%","85.4%","89.7%","35.5%","7.3%","8.6%","65.1%","60.5%","27,937,381","83,431,778","281,037,755","166,634,514","$12,942","29.0","$68,428","$37,306","11.0%","320,417","5,530,388","325,435,485","0.1%","996,670","1,135,017","609,648","417,500","311,684","795,129","89,110","1,006,885","231.1","55,518.93","""17""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","New Jersey","9,267,130","9,288,994","-0.2%","9,288,994","8,791,894","5.8%","21.8%","16.6%","51.1%","71.9%","15.1%","0.6%","10.0%","0.1%","2.3%","20.9%","54.6%","313,928","22.7%","3,641,812","64.0%","$343,500","$2,476","$1,062","$1,368","36,146","3,272,054","2.66","89.7%","31.6%","92.9%","87.9%","90.3%","40.7%","6.6%","9.2%","65.6%","60.5%","19,673,558","60,375,232","108,854,971","133,665,728","$15,079","32.0","$85,245","$44,153","9.4%","233,888","3,805,357","239,861,512","1.8%","745,483","792,088","464,592","252,944","237,242","533,808","57,996","707,975","1,195.5","7,354.22","""34""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","New Hampshire","1,388,992","1,377,529","0.8%","1,377,529","1,316,470","4.7%","18.8%","18.7%","50.4%","93.1%","1.8%","0.3%","3.0%","Z","1.8%","4.0%","89.8%","93,326","6.1%","642,315","71.2%","$272,300","$1,967","$812","$1,145","4,320","539,116","2.44","86.4%","8.1%","93.7%","88.8%","93.3%","37.6%","8.9%","7.6%","67.1%","63.2%","2,942,278","9,616,460","18,895,624","26,018,201","$19,700","27.4","$77,923","$41,234","7.0%","38,494","620,164","33,047,745","1.3%","108,327","131,638","76,716","38,525","6,111","121,297","16,119","108,817","147.0","8,952.65","""33""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Nevada","3,143,991","3,104,614","1.3%","3,104,614","2,700,551","6.0%","22.5%","16.1%","49.8%","73.9%","10.3%","1.7%","8.7%","0.8%","4.6%","29.2%","48.2%","205,659","19.4%","1,285,684","57.1%","$290,200","$1,574","$433","$1,159","19,716","1,130,011","2.65","83.0%","30.2%","93.6%","85.5%","86.9%","25.5%","8.5%","13.4%","63.0%","58.4%","27,481,505","13,928,514","14,719,141","38,234,170","$13,858","24.6","$62,043","$32,629","12.5%","68,567","1,261,577","58,121,883","3.3%","245,381","227,156","114,057","82,508","71,864","144,944","23,049","191,293","24.6","109,781.18","""32""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Nebraska","1,963,692","1,961,504","0.1%","1,961,504","1,826,341","6.8%","24.6%","16.2%","50.0%","88.1%","5.2%","1.5%","2.7%","0.1%","2.3%","11.4%","78.2%","113,567","7.4%","851,227","66.2%","$164,000","$1,412","$539","$857","9,483","766,663","2.44","84.7%","11.8%","91.5%","85.6%","91.6%","32.5%","7.7%","9.8%","69.0%","64.6%","3,094,498","12,869,418","57,499,177","30,470,717","$16,422","18.9","$63,015","$33,205","9.2%","54,939","856,242","39,432,674","1.3%","138,728","164,089","83,696","51,936","14,571","144,122","16,693","137,254","23.8","76,824.17","""31""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Montana","1,104,271","1,084,225","1.8%","1,084,225","989,415","5.7%","21.4%","19.3%","49.7%","88.9%","0.6%","6.7%","0.9%","0.1%","2.8%","4.1%","85.9%","85,401","2.2%","519,935","68.5%","$244,900","$1,456","$451","$836","5,980","436,048","2.37","84.5%","4.0%","90.5%","83.3%","94.0%","33.1%","9.3%","10.2%","63.2%","59.6%","2,420,455","6,469,475","11,535,236","15,623,573","$15,544","18.4","$56,539","$32,463","12.4%","38,959","375,176","16,051,422","1.1%","93,753","112,419","55,913","35,449","5,578","102,746","11,486","93,393","6.8","145,545.80","""30""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Missouri","6,168,187","6,154,913","0.2%","6,154,913","5,988,927","6.0%","22.3%","17.3%","50.9%","82.9%","11.8%","0.6%","2.2%","0.2%","2.4%","4.4%","79.1%","391,513","4.2%","2,819,383","67.1%","$163,600","$1,287","$449","$843","19,839","2,440,212","2.44","85.5%","6.3%","90.7%","83.2%","90.6%","29.9%","10.2%","12.0%","62.6%","58.9%","12,430,310","40,089,316","111,535,362","90,546,581","$15,036","23.9","$57,290","$31,839","12.1%","151,816","2,547,310","125,301,519","0.5%","426,915","491,606","257,948","162,616","61,035","415,972","49,217","415,542","87.1","68,741.52","""29""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","West Virginia","1,782,959","1,793,716","-0.6%","1,793,716","1,852,994","5.2%","20.1%","20.5%","50.5%","93.5%","3.6%","0.3%","0.8%","Z","1.8%","1.7%","92.0%","125,084","1.6%","894,956","73.7%","$123,200","$1,058","$331","$732","3,204","734,235","2.40","88.6%","2.5%","86.2%","78.9%","87.6%","21.3%","13.9%","8.3%","53.6%","49.6%","4,036,333","12,259,395","24,553,072","22,637,923","$12,201","26.1","$48,037","$27,346","15.8%","35,795","554,433","23,906,683","0.0%","88,150","114,435","63,112","39,065","5,777","104,785","12,912","94,960","77.1","24,038.21","""54""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Washington","7,738,692","7,705,281","0.4%","7,705,281","6,724,540","6.0%","21.8%","15.9%","49.9%","78.5%","4.4%","1.9%","9.6%","0.8%","4.9%","13.0%","67.5%","517,912","14.5%","3,195,004","63.3%","$366,800","$1,939","$605","$1,337","43,881","2,905,822","2.53","83.0%","20.0%","94.8%","90.1%","91.7%","36.7%","8.8%","7.7%","63.7%","58.8%","14,297,278","43,966,889","131,530,601","118,924,049","$17,243","28.0","$77,006","$40,837","9.5%","195,105","2,898,378","191,591,608","1.8%","491,908","541,522","262,650","187,677","92,807","426,697","49,331","461,401","101.2","66,455.52","""53""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Virginia","8,642,274","8,631,393","0.1%","8,631,393","8,001,024","5.9%","21.8%","15.9%","50.8%","69.4%","19.9%","0.5%","6.9%","0.1%","3.2%","9.8%","61.2%","674,242","12.6%","3,562,143","66.7%","$282,800","$1,822","$481","$1,257","33,813","3,184,121","2.60","85.2%","16.4%","92.3%","86.1%","90.3%","39.5%","8.0%","9.3%","64.0%","60.4%","17,795,901","47,705,003","96,389,872","110,002,385","$13,438","28.6","$76,398","$41,255","9.2%","203,467","3,455,993","197,418,070","2.0%","632,995","653,193","353,012","236,290","185,043","450,109","76,434","548,439","202.6","39,490.09","""51""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Vermont","645,570","643,077","0.4%","643,077","625,741","4.7%","18.3%","20.0%","50.6%","94.2%","1.4%","0.4%","1.9%","Z","2.0%","2.0%","92.6%","34,915","4.6%","339,439","71.3%","$230,900","$1,630","$686","$999","2,077","262,852","2.28","86.7%","5.6%","91.3%","83.0%","93.5%","39.7%","10.4%","5.6%","65.3%","62.7%","1,564,272","4,457,996","9,315,494","9,933,751","$15,868","23.3","$63,477","$35,854","9.4%","20,829","261,196","11,884,937","0.0%","62,027","75,827","41,270","23,417","2,354","70,491","8,237","63,317","67.9","9,216.66","""50""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Utah","3,337,975","3,271,616","2.0%","3,271,616","2,763,885","7.7%","29.0%","11.4%","49.6%","90.6%","1.5%","1.6%","2.7%","1.1%","2.6%","14.4%","77.8%","120,198","8.4%","1,133,521","70.5%","$305,400","$1,597","$437","$1,090","31,775","1,003,345","3.09","83.8%","15.3%","96.1%","89.3%","93.0%","34.7%","7.0%","10.8%","68.6%","61.3%","4,789,281","14,521,857","50,046,429","38,024,486","$13,317","22.0","$74,197","$30,986","7.3%","83,924","1,373,876","67,687,688","2.7%","246,766","251,419","132,163","76,269","24,423","218,826","18,754","219,807","33.6","82,169.62","""49""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
