"","State","Population Estimates, July 1 2021, (V2021)","Population estimates base, April 1, 2020, (V2021)","Population, percent change - April 1, 2020 (estimates base) to July 1, 2021, (V2021)","Population, Census, April 1, 2020","Population, Census, April 1, 2010","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent","American Indian and Alaska Native alone, percent","Asian alone, percent","Native Hawaiian and Other Pacific Islander alone, percent","Two or More Races, percent","Hispanic or Latino, percent","White alone, not Hispanic or Latino, percent","Veterans, 2016-2020","Foreign born persons, percent, 2016-2020","Housing units,  July 1, 2019,  (V2019)","Owner-occupied housing unit rate, 2016-2020","Median value of owner-occupied housing units, 2016-2020","Median selected monthly owner costs -with a mortgage, 2016-2020","Median selected monthly owner costs -without a mortgage, 2016-2020","Median gross rent, 2016-2020","Building permits, 2020","Households, 2016-2020","Persons per household, 2016-2020","Living in same house 1 year ago, percent of persons age 1 year+, 2016-2020","Language other than English spoken at home, percent of persons age 5 years+, 2016-2020","Households with a computer, percent, 2016-2020","Households with a broadband Internet subscription, percent, 2016-2020","High school graduate or higher, percent of persons age 25 years+, 2016-2020","Bachelor's degree or higher, percent of persons age 25 years+, 2016-2020","With a disability, under age 65 years, percent, 2016-2020","Persons  without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2016-2020","In civilian labor force, female, percent of population age 16 years+, 2016-2020","Total accommodation and food services sales, 2012 ($1,000)","Total health care and social assistance receipts/revenue, 2012 ($1,000)","Total manufacturers shipments, 2012 ($1,000)","Total retail sales, 2012 ($1,000)","Total retail sales per capita, 2012","Mean travel time to work (minutes), workers age 16 years+, 2016-2020","Median household income (in 2020 dollars), 2016-2020","Per capita income in past 12 months (in 2020 dollars), 2016-2020","Persons in poverty, percent","Total employer establishments, 2020","Total employment, 2020","Total annual payroll, 2020 ($1,000)","Total employment, percent change, 2019-2020","Total nonemployer establishments, 2018","All firms, 2012","Men-owned firms, 2012","Women-owned firms, 2012","Minority-owned firms, 2012","Nonminority-owned firms, 2012","Veteran-owned firms, 2012","Nonveteran-owned firms, 2012","Population per square mile, 2010","Land area in square miles, 2010","FIPS Code","NA","NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","NA","Value Notes","None","NA","Fact Notes","(a)","(c)","(b)","NA","Value Flags","-","F","D","N","FN","X","S","NA","Z"
"30","Texas","29,527,941","29,145,505","1.3%","29,145,505","25,145,561","6.9%","25.5%","12.9%","50.3%","78.7%","12.9%","1.0%","5.2%","0.1%","2.1%","39.7%","41.2%","1,435,527","16.8%","11,283,353","62.3%","$187,200","$1,654","$526","$1,082","230,503","9,906,070","2.83","84.8%","35.1%","92.7%","85.1%","84.4%","30.7%","7.9%","20.8%","64.4%","58.2%","54,480,811","145,035,130","702,603,073","356,116,376","$13,666","26.6","$63,826","$32,177","13.4%","609,476","11,104,054","611,142,429","2.9%","2,514,301","2,356,748","1,251,696","866,678","1,070,392","1,224,845","213,590","2,057,218","96.3","261,231.71","""48""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Mississippi","2,949,965","2,961,279","-0.4%","2,961,279","2,967,297","6.2%","23.5%","16.4%","51.5%","59.1%","37.8%","0.6%","1.1%","0.1%","1.3%","3.4%","56.4%","164,687","2.3%","1,339,021","68.8%","$125,500","$1,161","$358","$789","7,810","1,116,649","2.59","87.5%","4.0%","86.5%","75.8%","85.3%","22.8%","11.9%","15.4%","56.8%","53.8%","6,999,175","16,630,587","66,441,608","37,053,190","$12,413","25.2","$46,511","$25,444","18.7%","59,130","958,126","37,730,520","1.4%","222,159","235,454","125,079","89,159","74,824","155,094","26,789","198,566","63.2","46,923.27","""28""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Minnesota","5,707,390","5,706,494","Z","5,706,494","5,303,925","6.2%","23.1%","16.3%","50.2%","83.8%","7.0%","1.4%","5.2%","0.1%","2.6%","5.6%","79.1%","291,453","8.4%","2,477,753","71.9%","$235,700","$1,606","$548","$1,010","28,148","2,207,988","2.48","86.3%","11.9%","92.7%","87.0%","93.4%","36.8%","7.4%","5.8%","69.2%","65.6%","11,722,627","40,403,572","123,076,309","78,898,182","$14,667","23.8","$73,382","$38,881","8.3%","151,495","2,729,420","153,756,494","0.0%","416,487","489,494","268,710","157,821","47,302","428,716","45,582","419,628","66.6","79,626.74","""27""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Michigan","10,050,811","10,077,331","-0.3%","10,077,331","9,883,640","5.7%","21.5%","17.7%","50.7%","79.2%","14.1%","0.7%","3.4%","Z","2.5%","5.3%","74.7%","532,394","6.9%","4,629,611","71.7%","$162,600","$1,312","$495","$892","19,735","3,980,408","2.45","86.6%","9.7%","91.1%","84.4%","91.3%","30.0%","10.2%","6.9%","61.4%","57.2%","17,962,356","63,018,786","238,892,383","119,302,046","$12,071","24.6","$59,234","$32,854","12.6%","222,226","3,978,872","203,510,092","0.8%","730,700","834,087","446,128","306,986","158,946","657,237","71,861","733,517","174.8","56,538.90","""26""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Massachusetts","6,984,723","7,029,917","-0.6%","7,029,917","6,547,629","5.2%","19.6%","17.0%","51.5%","80.6%","9.0%","0.5%","7.2%","0.1%","2.6%","12.4%","71.1%","290,648","16.9%","2,928,732","62.5%","$398,800","$2,268","$829","$1,336","17,025","2,646,980","2.50","87.4%","23.9%","92.6%","88.2%","91.1%","44.5%","7.9%","3.5%","67.1%","63.4%","17,508,975","63,583,090","81,927,799","92,915,380","$13,980","30.0","$84,385","$45,555","9.4%","181,061","3,386,372","238,938,268","1.9%","573,754","607,664","357,158","199,210","89,967","499,959","58,339","525,667","839.4","7,800.06","""25""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Maryland","6,165,129","6,177,224","-0.2%","6,177,224","5,773,552","6.0%","22.1%","15.9%","51.6%","58.5%","31.1%","0.6%","6.7%","0.1%","2.9%","10.6%","50.0%","357,261","15.2%","2,470,316","67.1%","$325,400","$2,038","$633","$1,415","17,982","2,230,527","2.64","86.8%","19.0%","93.6%","88.5%","90.6%","40.9%","7.6%","6.9%","66.9%","63.3%","12,516,782","40,821,901","39,532,989","76,379,707","$12,980","33.0","$87,063","$43,352","9.0%","139,449","2,380,865","136,778,313","0.6%","510,744","531,953","276,630","209,119","203,394","314,902","50,976","462,232","594.8","9,707.24","""24""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Maine","1,372,247","1,362,359","0.7%","1,362,359","1,328,361","4.7%","18.5%","21.2%","51.0%","94.4%","1.7%","0.7%","1.3%","Z","1.8%","1.8%","93.0%","101,652","3.6%","750,939","72.9%","$198,000","$1,404","$500","$873","5,304","569,551","2.29","87.1%","6.0%","91.1%","84.3%","93.2%","32.5%","11.5%","10.1%","62.8%","59.6%","2,901,347","10,297,043","16,044,543","21,521,714","$16,192","24.3","$59,489","$33,774","10.6%","41,843","522,191","24,129,240","1.2%","117,341","139,570","79,243","42,067","4,339","131,322","15,689","115,839","43.1","30,842.92","""23""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Oklahoma","3,986,639","3,959,353","0.7%","3,959,353","3,751,351","6.5%","24.1%","16.1%","50.5%","74.0%","7.8%","9.4%","2.4%","0.2%","6.3%","11.1%","65.0%","266,895","6.0%","1,749,464","66.1%","$142,400","$1,246","$406","$818","13,733","1,493,569","2.57","83.8%","10.6%","90.6%","81.7%","88.6%","26.1%","11.6%","16.8%","60.5%","55.8%","7,121,153","22,795,438","74,295,394","50,256,231","$13,174","22.0","$53,840","$29,873","14.3%","93,761","1,404,725","65,227,101","1.4%","291,452","327,229","174,395","105,168","64,875","249,027","36,273","273,491","54.7","68,594.92","""40""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Ohio","11,780,017","11,799,448","-0.2%","11,799,448","11,536,504","5.9%","22.1%","17.5%","51.0%","81.7%","13.1%","0.3%","2.5%","0.1%","2.4%","4.0%","78.4%","685,905","4.6%","5,232,869","66.3%","$151,400","$1,286","$480","$825","29,686","4,717,226","2.41","86.0%","7.2%","90.7%","84.5%","90.8%","28.9%","10.0%","7.8%","63.0%","58.9%","20,652,777","80,915,693","313,629,976","153,553,997","$13,301","23.7","$58,116","$32,465","12.6%","250,981","4,916,956","243,906,995","0.8%","802,331","904,814","510,078","306,824","122,653","759,569","91,316","776,193","282.3","40,860.69","""39""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","North Dakota","774,948","779,094","-0.5%","779,094","672,591","7.1%","23.6%","15.7%","48.8%","86.9%","3.4%","5.6%","1.7%","0.1%","2.3%","4.1%","83.7%","46,288","4.3%","380,173","62.5%","$199,900","$1,457","$476","$828","3,493","320,873","2.29","82.5%","6.0%","91.3%","83.1%","93.1%","30.7%","7.2%","8.1%","69.1%","64.8%","2,045,123","5,418,355","14,427,360","15,519,816","$22,183","17.6","$65,315","$36,289","10.2%","24,654","353,333","18,291,999","2.1%","56,523","68,270","37,016","20,316","3,190","62,271","6,584","56,904","9.7","69,000.80","""38""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","North Carolina","10,551,162","10,439,388","1.1%","10,439,388","9,535,483","5.8%","21.9%","16.7%","51.4%","70.6%","22.2%","1.6%","3.2%","0.1%","2.3%","9.8%","62.6%","654,365","8.0%","4,747,943","65.7%","$182,100","$1,328","$402","$932","80,474","4,031,592","2.51","85.4%","11.8%","90.7%","83.4%","88.5%","32.0%","9.3%","13.4%","61.2%","57.3%","18,622,258","55,227,505","202,344,646","120,691,007","$12,376","24.9","$56,642","$31,993","12.9%","238,015","3,932,620","194,776,029","2.2%","787,883","805,985","435,677","287,058","183,380","603,182","86,571","684,743","196.1","48,617.91","""37""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","New York","19,835,913","20,201,249","-1.8%","20,201,249","19,378,102","5.8%","20.7%","16.9%","51.4%","69.6%","17.6%","1.0%","9.0%","0.1%","2.7%","19.3%","55.3%","676,295","22.4%","8,404,381","54.1%","$325,000","$2,174","$781","$1,315","37,330","7,417,224","2.55","89.6%","30.3%","91.1%","85.2%","87.2%","37.5%","7.6%","6.1%","62.9%","58.7%","49,285,508","155,666,053","148,879,931","251,167,736","$12,834","33.5","$71,117","$40,898","12.7%","547,351","8,597,216","603,077,852","2.2%","1,804,188","2,008,988","1,139,910","725,709","709,021","1,248,304","137,532","1,811,544","411.2","47,126.40","""36""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","New Mexico","2,115,877","2,117,522","-0.1%","2,117,522","2,059,179","5.8%","22.7%","18.0%","50.5%","81.9%","2.6%","11.0%","1.8%","0.2%","2.6%","49.3%","36.8%","141,558","9.2%","948,473","68.0%","$175,700","$1,293","$360","$857","5,219","792,755","2.59","87.0%","33.5%","88.1%","77.9%","86.5%","28.1%","10.9%","12.0%","56.9%","53.5%","4,349,672","11,236,630","29,102,352","25,179,274","$12,073","22.7","$51,243","$27,945","16.8%","43,804","644,537","28,177,071","2.1%","125,925","151,363","71,132","59,044","60,622","83,857","14,096","128,693","17.0","121,298.15","""35""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Tennessee","6,975,218","6,910,840","0.9%","6,910,840","6,346,105","6.0%","22.1%","16.7%","51.2%","78.4%","17.1%","0.5%","2.0%","0.1%","2.0%","5.7%","73.5%","428,519","5.1%","3,028,213","66.5%","$177,600","$1,272","$389","$897","49,719","2,639,455","2.51","85.8%","7.2%","89.1%","81.5%","88.2%","28.2%","11.0%","12.1%","61.1%","56.8%","12,499,013","42,383,683","139,960,482","91,641,605","$14,194","25.4","$54,833","$30,869","13.6%","139,760","2,724,545","129,928,960","1.5%","539,987","550,453","302,249","195,694","105,234","434,025","59,379","469,392","153.9","41,234.90","""47""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","South Dakota","895,376","886,667","1.0%","886,667","814,180","6.9%","24.5%","17.2%","49.5%","84.6%","2.3%","9.0%","1.5%","0.1%","2.5%","4.2%","81.5%","55,969","4.0%","401,862","68.0%","$174,600","$1,367","$495","$761","6,660","347,878","2.43","84.9%","6.5%","90.2%","83.2%","92.2%","29.3%","7.8%","12.2%","67.5%","63.8%","1,873,699","6,211,731","16,882,647","13,791,827","$16,550","17.3","$59,896","$31,415","11.6%","27,108","358,943","15,766,523","-0.2%","68,405","81,314","42,418","23,722","4,101","74,228","8,604","66,219","10.7","75,811.00","""46""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","South Carolina","5,190,705","5,118,425","1.4%","5,118,425","4,625,364","5.7%","21.6%","18.2%","51.6%","68.6%","27.0%","0.5%","1.8%","0.1%","2.0%","6.0%","63.7%","360,355","5.2%","2,351,286","70.1%","$170,100","$1,265","$377","$918","42,340","1,961,481","2.53","86.2%","7.4%","90.2%","81.2%","88.3%","29.0%","10.2%","13.2%","59.5%","55.9%","9,763,818","22,941,292","99,160,840","58,093,824","$12,298","25.1","$54,864","$30,727","13.8%","111,926","1,949,406","83,500,291","2.4%","363,971","367,726","202,446","131,856","83,233","276,269","47,987","303,137","153.9","30,060.70","""45""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Rhode Island","1,095,610","1,097,379","-0.2%","1,097,379","1,052,567","5.1%","19.3%","17.7%","51.3%","83.6%","8.5%","1.1%","3.7%","0.2%","2.9%","16.3%","71.4%","52,128","14.0%","470,168","61.6%","$276,600","$1,879","$745","$1,031","1,374","414,730","2.45","88.1%","22.4%","90.7%","86.6%","89.2%","35.0%","9.7%","4.8%","64.5%","60.7%","2,481,314","8,223,005","11,262,158","12,063,865","$11,486","25.3","$70,305","$37,504","10.6%","28,801","444,948","22,726,455","0.6%","83,145","94,642","54,651","30,484","14,737","77,042","9,904","79,837","1,018.1","1,033.81","""44""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Pennsylvania","12,964,056","13,002,700","-0.3%","13,002,700","12,702,379","5.5%","20.6%","18.7%","51.0%","81.6%","12.0%","0.4%","3.8%","0.1%","2.1%","7.8%","75.7%","731,411","7.0%","5,732,628","69.0%","$187,500","$1,505","$542","$958","25,706","5,106,601","2.42","87.8%","11.5%","89.6%","84.0%","91.0%","32.3%","9.8%","7.0%","62.7%","58.5%","23,504,192","96,329,248","231,396,178","178,794,945","$14,008","27.1","$63,627","$35,518","10.9%","303,224","5,557,885","294,726,635","1.5%","865,041","975,453","579,400","304,803","131,512","818,858","97,969","837,792","283.9","44,742.70","""42""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Oregon","4,246,155","4,237,256","0.2%","4,237,256","3,831,074","5.4%","20.5%","18.2%","50.4%","86.7%","2.2%","1.8%","4.9%","0.5%","4.0%","13.4%","75.1%","273,946","9.8%","1,808,465","62.8%","$336,700","$1,741","$553","$1,173","18,665","1,642,579","2.49","83.4%","15.3%","94.1%","88.1%","91.1%","34.4%","9.9%","8.6%","62.5%","58.2%","8,466,788","24,956,816","51,349,948","49,481,054","$12,690","23.9","$65,667","$35,393","11.0%","119,074","1,643,425","87,517,282","0.9%","302,653","339,305","165,691","123,015","41,456","285,028","30,918","288,790","39.9","95,988.01","""41""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","District of Columbia","670,050","689,545","-2.8%","689,545","601,723","6.4%","18.2%","12.4%","52.6%","46.0%","46.0%","0.6%","4.5%","0.1%","2.9%","11.3%","37.5%","25,514","13.4%","322,793","42.5%","$618,100","$2,676","$735","$1,607","7,370","288,307","2.30","80.7%","17.2%","93.0%","85.6%","91.9%","59.8%","8.2%","3.9%","70.2%","68.9%","5,101,602","8,963,981","309,832","4,439,933","$7,022","30.9","$90,842","$58,659","15.0%","24,083","543,174","45,850,029","2.7%","62,583","63,408","30,237","27,064","29,983","29,521","5,070","54,217","9,856.5","61.05","""11""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Wyoming","578,803","576,851","0.3%","576,851","563,626","6.0%","23.1%","17.1%","49.1%","92.5%","1.3%","2.7%","1.1%","0.1%","2.2%","10.1%","83.7%","44,403","3.3%","280,291","71.0%","$228,000","$1,474","$429","$853","2,128","233,231","2.43","83.3%","7.0%","93.1%","85.9%","93.6%","28.2%","8.8%","14.8%","65.1%","60.0%","1,644,844","3,291,478","10,783,794","9,446,043","$16,388","17.9","$65,304","$34,415","9.2%","21,770","206,266","10,107,417","-0.4%","53,042","62,427","30,039","19,344","4,077","55,397","6,470","51,353","5.8","97,093.14","""56""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Wisconsin","5,895,908","5,893,718","Z","5,893,718","5,686,986","5.7%","21.8%","17.5%","50.2%","87.0%","6.7%","1.2%","3.0%","0.1%","2.0%","7.1%","80.9%","319,280","5.0%","2,725,296","67.1%","$189,200","$1,436","$556","$872","21,226","2,377,935","2.38","86.4%","8.7%","90.7%","84.7%","92.6%","30.8%","8.0%","6.8%","66.1%","62.6%","10,303,256","40,680,625","177,728,926","78,201,822","$13,656","22.2","$63,293","$34,450","10.0%","141,326","2,599,347","131,209,701","-0.4%","355,166","432,980","236,252","133,859","40,507","379,934","39,830","370,755","105.0","54,157.80","""55""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
